number	cardinal	is plural number
0	cero	false
1	uno	false
1	una	false
1	un	false
2	dos	false
3	tres	false
4	cuatro	false
5	cinco	false
6	seis	false
7	siete	false
8	ocho	false
9	nueve	false
10	diez	false
11	once	false
12	doce	false
13	trece	false
14	catorce	false
15	quince	false
16	dieciseis	false
17	diecisiete	false
18	dieciocho	false
19	diecinueve	false
20	veinte	false
21	veintiuno	false
21	veintiuna	false
21	veintiun	false
21	veintiuna	false
22	veintidos	false
23	veintitres	false
24	veinticuatro	false
25	veinticinco	false
26	veintiseis	false
27	veintisiete	false
28	veintiocho	false
29	veintinueve	false
30	treinta	false
40	cuarenta	false
50	cincuenta	false
60	sesenta	false
70	setenta	false
80	ochenta	false
90	noventa	false
100	cien	false
100	ciento	true
200	doscientos	false
300	trescientos	false
300	trescientas	false
400	cuatrocientos	false
400	cuatrocientas	false
500	quinientos	false
500	quinientas	false
600	seiscientos	false
600	seiscientas	false
700	setecientos	false
700	setecientas	false
800	ochocientos	false
800	ochocientas	false
900	novecientos	false
900	novecientas	false
1000	mil	false
1000000	millon	false
1000000	millones	true
1000000000000	billon	false
1000000000000	billones	true
1000000000000000000	trillon	false
1000000000000000000	trillones	true
1000000000000000000000000	cuatrillon	false
1000000000000000000000000	cuatrillones	true
1000000000000000000000000000000	quintillon	false
1000000000000000000000000000000	quintillones	true
1000000000000000000000000000000000000	sextillon	false
1000000000000000000000000000000000000	sextillones	true
1000000000000000000000000000000000000000000	septillon	false
1000000000000000000000000000000000000000000	septillones	true
1000000000000000000000000000000000000000000000000	octillon	false
1000000000000000000000000000000000000000000000000	octillones	true
1000000000000000000000000000000000000000000000000000000	nonillon	false
1000000000000000000000000000000000000000000000000000000	nonillones	true